externalid,tranId,Customer,trandate,orderstatus,startdate,enddate,otherrefnum,memo,salesrep,opportunity,saleseffectivedate,leadsource,partner,Department,Class,Location,couponcode,promocode,discount-discountItem,discount-discountrate,itemLine_item,new_part,itemLine_quantity,itemLine_serialNumbers,itemLine_units,itemLine_salesPrice,itemLine_amount,itemLine_description,itemLine_isTaxable,itemLine_priceLevel,itemLine_department,itemLine_class,itemLine_location,itemLine_custom:Field Name,itemLine_custom:Field Name1,itemLine_custom:Field Name2,shipdate,shipcarrier,shipmethod,shipcomplete,shipaddresslist,shipattention,shipaddressee,shipAddr1,shipAddr2,shipCity,shipState,shipZip,shipCountry,shipPhone,terms,billattention,billAddressee,billAddr1,billAddr2,billCity,billState,billZip,billCountry,billPhone,currency,exchangerate,istaxable,taxitem,taxrate,tobeprinted,tobeemailed,email,tobefaxed,fax,customermessage,custbody_nsts_ci_exclude,custom:Field Name,custom:Field Name1,custom:Field Name2
71506,71506,0604349,02/18/19,O,?,?,NOT SIGNED,?,0104,,?,,?,?,?,,?,?,Y,?,58825,058825,1,?,EACH,84,84,Cartridge - 27 in. no CO. Was,?,?,?,?,?,?,?,?,?,?,?,?,?,?,BOSTIC VOL FIRE DEPT,181 N MAIN ST,ATTN: RANDY JOLLEY,Bostic,Bostic,28018,USA,?,30,?,BOSTIC TOWN OF,PO BOX 158,ATTN: RANDY JOLLEY,Bostic,NC,28018,USA,?,?,?,NC-RUTHER,?,?,Y,?,bosticfiredept@yahoo.com,?,(828) 245-9394,?,?,?,?,?,
71506,71506,0604349,02/18/19,O,?,?,NOT SIGNED,?,0104,,?,,?,?,?,,?,?,Y,?,60037,060037A,1,?,EACH,158,158,Cartridge - SECURUS Was CTG9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,BOSTIC VOL FIRE DEPT,181 N MAIN ST,ATTN: RANDY JOLLEY,Bostic,Bostic,28018,USA,?,30,?,BOSTIC TOWN OF,PO BOX 158,ATTN: RANDY JOLLEY,Bostic,NC,28018,USA,?,?,?,NC-RUTHER,?,?,Y,?,bosticfiredept@yahoo.com,?,(828) 245-9394,?,?,?,?,?,
71506,71506,0604349,02/18/19,O,?,?,NOT SIGNED,?,0104,,?,,?,?,?,,?,?,Y,?,21356,,1,?,EACH,12.25,12.25,OIL FILTER,?,?,?,?,?,?,?,?,?,?,?,?,?,?,BOSTIC VOL FIRE DEPT,181 N MAIN ST,ATTN: RANDY JOLLEY,Bostic,Bostic,28018,USA,?,30,?,BOSTIC TOWN OF,PO BOX 158,ATTN: RANDY JOLLEY,Bostic,NC,28018,USA,?,?,?,NC-RUTHER,?,?,Y,?,bosticfiredept@yahoo.com,?,(828) 245-9394,?,?,?,?,?,
71506,71506,0604349,02/18/19,O,?,?,NOT SIGNED,?,0104,,?,,?,?,?,,?,?,Y,?,28-4535,,1,?,EACH,21.6,21.6,INTAKE FILTER MITSUBISHI DIESE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,BOSTIC VOL FIRE DEPT,181 N MAIN ST,ATTN: RANDY JOLLEY,Bostic,Bostic,28018,USA,?,30,?,BOSTIC TOWN OF,PO BOX 158,ATTN: RANDY JOLLEY,Bostic,NC,28018,USA,?,?,?,NC-RUTHER,?,?,Y,?,bosticfiredept@yahoo.com,?,(828) 245-9394,?,?,?,?,?,
71506,71506,0604349,02/18/19,O,?,?,NOT SIGNED,?,0104,,?,,?,?,?,,?,?,Y,?,65-ROT40,,4,?,EACH,6.5,6.5,OIL DIESEL ROTELLA 15/40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,BOSTIC VOL FIRE DEPT,181 N MAIN ST,ATTN: RANDY JOLLEY,Bostic,Bostic,28018,USA,?,30,?,BOSTIC TOWN OF,PO BOX 158,ATTN: RANDY JOLLEY,Bostic,NC,28018,USA,?,?,?,NC-RUTHER,?,?,Y,?,bosticfiredept@yahoo.com,?,(828) 245-9394,?,?,?,?,?,
71506,71506,0604349,02/18/19,O,?,?,NOT SIGNED,?,0104,,?,,?,?,?,,?,?,Y,?,N25326K,,1,?,EACH,26.93,26.93,KIT OIL FILTER ELEMENT,?,?,?,?,?,?,?,?,?,?,?,?,?,?,BOSTIC VOL FIRE DEPT,181 N MAIN ST,ATTN: RANDY JOLLEY,Bostic,Bostic,28018,USA,?,30,?,BOSTIC TOWN OF,PO BOX 158,ATTN: RANDY JOLLEY,Bostic,NC,28018,USA,?,?,?,NC-RUTHER,?,?,Y,?,bosticfiredept@yahoo.com,?,(828) 245-9394,?,?,?,?,?,
71506,71506,0604349,02/18/19,O,?,?,NOT SIGNED,?,0104,,?,,?,?,?,,?,?,Y,?,OIL24,OIL-0024/GAL,1,?,EACH,82.5,82.5,Oil chemlube 800 gallon,?,?,?,?,?,?,?,?,?,?,?,?,?,?,BOSTIC VOL FIRE DEPT,181 N MAIN ST,ATTN: RANDY JOLLEY,Bostic,Bostic,28018,USA,?,30,?,BOSTIC TOWN OF,PO BOX 158,ATTN: RANDY JOLLEY,Bostic,NC,28018,USA,?,?,?,NC-RUTHER,?,?,Y,?,bosticfiredept@yahoo.com,?,(828) 245-9394,?,?,?,?,?,
71506,71506,0604349,02/18/19,O,?,?,NOT SIGNED,?,0104,,?,,?,?,?,,?,?,N,?,AIRTEST-TWNLOL-NC,,1,?,EACH,150,150,LAB ON LOCALE TWIN 1989,?,?,?,?,?,?,?,?,?,?,?,?,?,?,BOSTIC VOL FIRE DEPT,181 N MAIN ST,ATTN: RANDY JOLLEY,Bostic,Bostic,28018,USA,?,30,?,BOSTIC TOWN OF,PO BOX 158,ATTN: RANDY JOLLEY,Bostic,NC,28018,USA,?,?,?,NC-RUTHER,?,?,Y,?,bosticfiredept@yahoo.com,?,(828) 245-9394,?,?,?,?,?,
71506,71506,0604349,02/18/19,O,?,?,NOT SIGNED,?,0104,,?,,?,?,?,,?,?,Y,?,N25886,N25886,1,?,EACH,46.8,46.8,Filter - intake H19 - H25,?,?,?,?,?,?,?,?,?,?,?,?,?,?,BOSTIC VOL FIRE DEPT,181 N MAIN ST,ATTN: RANDY JOLLEY,Bostic,Bostic,28018,USA,?,30,?,BOSTIC TOWN OF,PO BOX 158,ATTN: RANDY JOLLEY,Bostic,NC,28018,USA,?,?,?,NC-RUTHER,?,?,Y,?,bosticfiredept@yahoo.com,?,(828) 245-9394,?,?,?,?,?,
71508,71508,0601890,02/18/19,O,?,?,SIGNED,?,0104,,?,,?,?,?,,?,?,N,?,SAS-PM,,1,?,EACH,489.25,489.25,PREVENTATIVE MAINTENANCE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LEONARDTOWN VOL FIRE DEPT,22733 LAWRENCE AVE,,LEONARDTOWN,LEONARDTOWN,20650,USA,?,30,?,LEONARDTOWN VOL FIRE DEPT,PO BOX 50,ATTN: ACCOUNTS PAYABLE,Leonardtown,MD,20650,USA,?,?,?,NONTAX,?,?,Y,?,SCBA@lvfd1.org,?,(301) 475-5850,?,?,?,?,?,
71508,71508,0601890,02/18/19,O,?,?,SIGNED,?,0104,,?,,?,?,?,,?,?,N,?,HAZ MAT FEE-NC,,1,?,EACH,6.5,6.5,Haz Mat Fee - Oil Disposal,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LEONARDTOWN VOL FIRE DEPT,22733 LAWRENCE AVE,,LEONARDTOWN,LEONARDTOWN,20650,USA,?,30,?,LEONARDTOWN VOL FIRE DEPT,PO BOX 50,ATTN: ACCOUNTS PAYABLE,Leonardtown,MD,20650,USA,?,?,?,NONTAX,?,?,Y,?,SCBA@lvfd1.org,?,(301) 475-5850,?,?,?,?,?,
71508,71508,0601890,02/18/19,O,?,?,SIGNED,?,0104,,?,,?,?,?,,?,?,Y,?,04-0310,,1,?,EACH,12,12,KIT O-RING (CHAMBER),?,?,?,?,?,?,?,?,?,?,?,?,?,?,LEONARDTOWN VOL FIRE DEPT,22733 LAWRENCE AVE,,LEONARDTOWN,LEONARDTOWN,20650,USA,?,30,?,LEONARDTOWN VOL FIRE DEPT,PO BOX 50,ATTN: ACCOUNTS PAYABLE,Leonardtown,MD,20650,USA,?,?,?,NONTAX,?,?,Y,?,SCBA@lvfd1.org,?,(301) 475-5850,?,?,?,?,?,
71508,71508,0601890,02/18/19,O,?,?,SIGNED,?,0104,,?,,?,?,?,,?,?,Y,?,60037,060037A,1,?,EACH,158,158,Cartridge - SECURUS Was CTG9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LEONARDTOWN VOL FIRE DEPT,22733 LAWRENCE AVE,,LEONARDTOWN,LEONARDTOWN,20650,USA,?,30,?,LEONARDTOWN VOL FIRE DEPT,PO BOX 50,ATTN: ACCOUNTS PAYABLE,Leonardtown,MD,20650,USA,?,?,?,NONTAX,?,?,Y,?,SCBA@lvfd1.org,?,(301) 475-5850,?,?,?,?,?,
71508,71508,0601890,02/18/19,O,?,?,SIGNED,?,0104,,?,,?,?,?,,?,?,Y,?,N25950,N25950,1,?,EACH,30.3,30.3,Filter Intake,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LEONARDTOWN VOL FIRE DEPT,22733 LAWRENCE AVE,,LEONARDTOWN,LEONARDTOWN,20650,USA,?,30,?,LEONARDTOWN VOL FIRE DEPT,PO BOX 50,ATTN: ACCOUNTS PAYABLE,Leonardtown,MD,20650,USA,?,?,?,NONTAX,?,?,Y,?,SCBA@lvfd1.org,?,(301) 475-5850,?,?,?,?,?,
71508,71508,0601890,02/18/19,O,?,?,SIGNED,?,0104,,?,,?,?,?,,?,?,Y,?,N25326K,,1,?,EACH,26.93,26.93,KIT OIL FILTER ELEMENT,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LEONARDTOWN VOL FIRE DEPT,22733 LAWRENCE AVE,,LEONARDTOWN,LEONARDTOWN,20650,USA,?,30,?,LEONARDTOWN VOL FIRE DEPT,PO BOX 50,ATTN: ACCOUNTS PAYABLE,Leonardtown,MD,20650,USA,?,?,?,NONTAX,?,?,Y,?,SCBA@lvfd1.org,?,(301) 475-5850,?,?,?,?,?,
71508,71508,0601890,02/18/19,O,?,?,SIGNED,?,0104,,?,,?,?,?,,?,?,Y,?,OIL24,OIL-0024/GAL,1,?,EACH,82.5,82.5,Oil chemlube 800 gallon,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LEONARDTOWN VOL FIRE DEPT,22733 LAWRENCE AVE,,LEONARDTOWN,LEONARDTOWN,20650,USA,?,30,?,LEONARDTOWN VOL FIRE DEPT,PO BOX 50,ATTN: ACCOUNTS PAYABLE,Leonardtown,MD,20650,USA,?,?,?,NONTAX,?,?,Y,?,SCBA@lvfd1.org,?,(301) 475-5850,?,?,?,?,?,
71508,71508,0601890,02/18/19,O,?,?,SIGNED,?,0104,,?,,?,?,?,,?,?,N,?,AIRTEST-TWNLOL,,1,?,EACH,172,172,LAB ON LOCALETWIN 1989,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LEONARDTOWN VOL FIRE DEPT,22733 LAWRENCE AVE,,LEONARDTOWN,LEONARDTOWN,20650,USA,?,30,?,LEONARDTOWN VOL FIRE DEPT,PO BOX 50,ATTN: ACCOUNTS PAYABLE,Leonardtown,MD,20650,USA,?,?,?,NONTAX,?,?,Y,?,SCBA@lvfd1.org,?,(301) 475-5850,?,?,?,?,?,
71508,71508,0601890,02/18/19,O,?,?,SIGNED,?,0104,,?,,?,?,?,,?,?,N,?,SAS-MISC MAINT PARTS,,1,?,EACH,3.19,3.19,MISC MAINTENANCE PARTS,?,?,?,?,?,?,?,?,?,?,?,?,?,?,LEONARDTOWN VOL FIRE DEPT,22733 LAWRENCE AVE,,LEONARDTOWN,LEONARDTOWN,20650,USA,?,30,?,LEONARDTOWN VOL FIRE DEPT,PO BOX 50,ATTN: ACCOUNTS PAYABLE,Leonardtown,MD,20650,USA,?,?,?,NONTAX,?,?,Y,?,SCBA@lvfd1.org,?,(301) 475-5850,?,?,?,?,?,
71509,71509,0612397,02/18/19,O,?,?,SIGNED,?,0104,,?,,?,?,?,,?,?,N,?,SAS-PM,,1,?,EACH,565.5,565.5,PREVENTATIVE MAINTENANCE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CALVERT CLIFF NUCLEAR POW PL,1650 CALVERT CLIFF PKWY,SOUTH SERVICE BLDG.,Lusby,Lusby,20657-4702,USA,?,30,?,CALVERT CLIFF NUCLEAR POW PL,PO BOX 1609,ATTN: ACCTS PAY,Lusby,MD,20657,USA,?,?,?,NONTAX,?,?,Y,?,andrew.d.buck@constellation.com,?,(410) 495-4941,?,?,?,?,?,
71509,71509,0612397,02/18/19,O,?,?,SIGNED,?,0104,,?,,?,?,?,,?,?,N,?,HAZ MAT FEE-NC,,1,?,EACH,6.5,6.5,Haz Mat Fee - Oil Disposal,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CALVERT CLIFF NUCLEAR POW PL,1650 CALVERT CLIFF PKWY,SOUTH SERVICE BLDG.,Lusby,Lusby,20657-4702,USA,?,30,?,CALVERT CLIFF NUCLEAR POW PL,PO BOX 1609,ATTN: ACCTS PAY,Lusby,MD,20657,USA,?,?,?,NONTAX,?,?,Y,?,andrew.d.buck@constellation.com,?,(410) 495-4941,?,?,?,?,?,
71509,71509,0612397,02/18/19,O,?,?,SIGNED,?,0104,,?,,?,?,?,,?,?,Y,?,58825,058825,1,?,EACH,84,84,Cartridge - 27 in. no CO. Was,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CALVERT CLIFF NUCLEAR POW PL,1650 CALVERT CLIFF PKWY,SOUTH SERVICE BLDG.,Lusby,Lusby,20657-4702,USA,?,30,?,CALVERT CLIFF NUCLEAR POW PL,PO BOX 1609,ATTN: ACCTS PAY,Lusby,MD,20657,USA,?,?,?,NONTAX,?,?,Y,?,andrew.d.buck@constellation.com,?,(410) 495-4941,?,?,?,?,?,
71509,71509,0612397,02/18/19,O,?,?,SIGNED,?,0104,,?,,?,?,?,,?,?,Y,?,60037,060037A,1,?,EACH,158,158,Cartridge - SECURUS Was CTG9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CALVERT CLIFF NUCLEAR POW PL,1650 CALVERT CLIFF PKWY,SOUTH SERVICE BLDG.,Lusby,Lusby,20657-4702,USA,?,30,?,CALVERT CLIFF NUCLEAR POW PL,PO BOX 1609,ATTN: ACCTS PAY,Lusby,MD,20657,USA,?,?,?,NONTAX,?,?,Y,?,andrew.d.buck@constellation.com,?,(410) 495-4941,?,?,?,?,?,
71509,71509,0612397,02/18/19,O,?,?,SIGNED,?,0104,,?,,?,?,?,,?,?,Y,?,2110,,1,?,EACH,20.25,20.25,AIR INTAKE FILTER 6.5 X 3""H,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CALVERT CLIFF NUCLEAR POW PL,1650 CALVERT CLIFF PKWY,SOUTH SERVICE BLDG.,Lusby,Lusby,20657-4702,USA,?,30,?,CALVERT CLIFF NUCLEAR POW PL,PO BOX 1609,ATTN: ACCTS PAY,Lusby,MD,20657,USA,?,?,?,NONTAX,?,?,Y,?,andrew.d.buck@constellation.com,?,(410) 495-4941,?,?,?,?,?,
71509,71509,0612397,02/18/19,O,?,?,SIGNED,?,0104,,?,,?,?,?,,?,?,Y,?,65-1230,,1,?,EACH,26.4,26.4,OIL COMP. (MSDS UPON REQUEST),?,?,?,?,?,?,?,?,?,?,?,?,?,?,CALVERT CLIFF NUCLEAR POW PL,1650 CALVERT CLIFF PKWY,SOUTH SERVICE BLDG.,Lusby,Lusby,20657-4702,USA,?,30,?,CALVERT CLIFF NUCLEAR POW PL,PO BOX 1609,ATTN: ACCTS PAY,Lusby,MD,20657,USA,?,?,?,NONTAX,?,?,Y,?,andrew.d.buck@constellation.com,?,(410) 495-4941,?,?,?,?,?,
71509,71509,0612397,02/18/19,O,?,?,SIGNED,?,0104,,?,,?,?,?,,?,?,N,?,AIRTEST-TWNLOL,,1,?,EACH,172,172,LAB ON LOCALETWIN 1989,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CALVERT CLIFF NUCLEAR POW PL,1650 CALVERT CLIFF PKWY,SOUTH SERVICE BLDG.,Lusby,Lusby,20657-4702,USA,?,30,?,CALVERT CLIFF NUCLEAR POW PL,PO BOX 1609,ATTN: ACCTS PAY,Lusby,MD,20657,USA,?,?,?,NONTAX,?,?,Y,?,andrew.d.buck@constellation.com,?,(410) 495-4941,?,?,?,?,?,
71509,71509,0612397,02/18/19,O,?,?,SIGNED,?,0104,,?,,?,?,?,,?,?,N,?,SAS-MISC MAINT PARTS,,1,?,EACH,15.28,15.28,MISC MAINTENANCE PARTS,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CALVERT CLIFF NUCLEAR POW PL,1650 CALVERT CLIFF PKWY,SOUTH SERVICE BLDG.,Lusby,Lusby,20657-4702,USA,?,30,?,CALVERT CLIFF NUCLEAR POW PL,PO BOX 1609,ATTN: ACCTS PAY,Lusby,MD,20657,USA,?,?,?,NONTAX,?,?,Y,?,andrew.d.buck@constellation.com,?,(410) 495-4941,?,?,?,?,?,
71517,71517,0603958,02/19/19,O,?,?,SIGNED,?,0104,,?,,?,?,?,,?,?,N,?,SAS-PM NC,,1,?,EACH,406.44,406.44,PREVENTATIVE MAINTENANCE NC,?,?,?,?,?,?,?,?,?,?,?,?,?,?,HARRELLS VOL FIRE DEPT INC,606 TOMAHAWK HWY,,HARRELLS,HARRELLS,28444,USA,?,30,?,HARRELLS VOL FIRE DEPT INC,PO BOX 95,,Harrells,NC,28444,USA,?,?,?,NC-SAMPSO,?,?,Y,?,,?,(910) 532-2004,?,?,?,?,?,
71517,71517,0603958,02/19/19,O,?,?,SIGNED,?,0104,,?,,?,?,?,,?,?,N,?,HAZ MAT FEE-NC,,1,?,EACH,6.5,6.5,Haz Mat Fee - Oil Disposal,?,?,?,?,?,?,?,?,?,?,?,?,?,?,HARRELLS VOL FIRE DEPT INC,606 TOMAHAWK HWY,,HARRELLS,HARRELLS,28444,USA,?,30,?,HARRELLS VOL FIRE DEPT INC,PO BOX 95,,Harrells,NC,28444,USA,?,?,?,NC-SAMPSO,?,?,Y,?,,?,(910) 532-2004,?,?,?,?,?,
71517,71517,0603958,02/19/19,O,?,?,SIGNED,?,0104,,?,,?,?,?,,?,?,Y,?,04-0310,,2,?,EACH,12,12,KIT O-RING (CHAMBER),?,?,?,?,?,?,?,?,?,?,?,?,?,?,HARRELLS VOL FIRE DEPT INC,606 TOMAHAWK HWY,,HARRELLS,HARRELLS,28444,USA,?,30,?,HARRELLS VOL FIRE DEPT INC,PO BOX 95,,Harrells,NC,28444,USA,?,?,?,NC-SAMPSO,?,?,Y,?,,?,(910) 532-2004,?,?,?,?,?,
71517,71517,0603958,02/19/19,O,?,?,SIGNED,?,0104,,?,,?,?,?,,?,?,Y,?,61687,061687,1,?,EACH,134,134,Cartridge P41S,?,?,?,?,?,?,?,?,?,?,?,?,?,?,HARRELLS VOL FIRE DEPT INC,606 TOMAHAWK HWY,,HARRELLS,HARRELLS,28444,USA,?,30,?,HARRELLS VOL FIRE DEPT INC,PO BOX 95,,Harrells,NC,28444,USA,?,?,?,NC-SAMPSO,?,?,Y,?,,?,(910) 532-2004,?,?,?,?,?,
